time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.64877405208e-07,-7.18860741071e-08,10.0008372492,6.28290431511,0.000362310091195,0.0,-3.06529274361e-05,-1.32181004295e-05,0.0279077205523,-0.016250754806,0.0159862609536,0.0,412.69083850172717,414.0991533512252,414.1102843070992,412.67866604444686
0.12000000000000001,-1.66965583047e-05,-1.29293215322e-05,10.0111535037,6.28199796076,0.00154897211191,0.0,-0.000654234575936,-0.000537388709291,0.315931809588,-0.0129093296981,0.0264479977635,0.0,493.1155124666394,493.88751165750847,492.31642204875965,492.5636749873129
0.18,-9.2704362444e-05,-7.17732361302e-05,10.0323834648,6.28093723886,0.00316493185859,0.0,-0.00203694897174,-0.00151209806899,0.391709612996,-0.0295143293393,0.0278846483174,0.0,428.77618198472993,428.89839068123763,430.3968380227414,428.9894211070557
0.23999999999999996,-0.000291842204093,-0.000219537491839,10.0603624012,6.27913939808,0.00444715079878,0.0,-0.00476776363134,-0.00360821267682,0.540861089153,-0.0308787356274,0.00331065444616,0.0,453.0475986158566,451.0677508535012,452.82236546048534,452.7123446837158
0.3,-0.000706681664246,-0.000561449244578,10.1037331922,6.27690104114,0.00504358406072,0.0,-0.00911887020763,-0.00806958400693,0.90461505761,-0.0550084897707,0.0206850329948,0.0,514.0493455897874,515.2787670742277,514.5512526514468,512.8398715063524
0.36000000000000004,-0.00137181070188,-0.0011991080448,10.1627451828,6.27424782748,0.00611312562234,0.0,-0.0131799113594,-0.0135073854723,1.06231466845,-0.0285035737749,0.0113869479808,0.0,456.2262418823424,455.48326480439437,454.4663803875083,456.58435963341805
0.4200000000000001,-0.00230831563578,-0.00222518465465,10.2321922523,6.2729873886,0.00663671129712,0.0,-0.0181060569625,-0.0208611320245,1.25239662249,-0.00914050471181,0.00278927581832,0.0,466.1266998469975,465.4542876277077,464.9602906733099,466.4746005269138
0.48000000000000015,-0.00356658144597,-0.00374256747306,10.3154675804,6.27213218769,0.00647805786669,0.0,-0.0238385925915,-0.0298008611087,1.52312613963,-0.0271949640444,-0.0166663669196,0.0,491.29719608791765,489.85275857991985,489.3447729823462,487.9991969667737
0.5400000000000001,-0.00515931106075,-0.00582374739003,10.415016018,6.27008139342,0.00536260126951,0.0,-0.029115650463,-0.0397942201777,1.7947673952,-0.0542418929612,-0.022748047552,0.0,490.9511167281334,490.4997995226961,491.3947140219393,489.38530962662816
0.6000000000000002,-0.00701757913838,-0.00850851292143,10.5267732209,6.26738583925,0.00424305719078,0.0,-0.0326934369153,-0.0500091451545,1.93024972091,-0.0308563040393,-0.0115303213669,0.0,450.9580801756039,451.86328062748703,449.95364840633,451.8414858438875
0.6600000000000003,-0.00908183333158,-0.0119115897407,10.649866317,6.26557739702,0.00317112345776,0.0,-0.0360105792091,-0.063644951759,2.17242205649,-0.0287468260332,-0.035206020609,0.0,484.13499267659154,482.35047252173877,483.4711031958645,483.62979175683995
0.7200000000000003,-0.0112995572974,-0.0160974528679,10.7830559028,6.26331122257,0.00111144683049,0.0,-0.0377020562215,-0.0760682010841,2.26704458293,-0.0699649860538,-0.0326275619468,0.0,440.86236561921237,441.074852361691,440.3497863781927,436.9258058593383
0.7800000000000004,-0.0135753588601,-0.0210365002359,10.9195858027,6.2594062621,6.28236394632,0.0,-0.0379835395102,-0.0889281268411,2.28391021675,-0.056772716262,-0.0313980219747,0.0,414.4174323302742,414.5250231825881,414.72303351663305,415.8765953724236
0.8400000000000004,-0.0158284824707,-0.0269145988239,11.0611853459,6.25618726387,6.28053792537,0.0,-0.0369176223633,-0.107363504561,2.43575330336,-0.0480419428449,-0.0285718952558,0.0,457.38295678614344,457.60769376268354,458.2680717297537,458.9596830890582
0.9000000000000005,-0.0179818684845,-0.0339317482772,11.2105587983,6.2531332312,6.27902001695,0.0,-0.0346967175876,-0.126840375117,2.54311874336,-0.0573352040685,-0.0194464057736,0.0,444.4614302718033,445.20855765234745,445.5714909700559,444.8094358110624
0.9600000000000005,-0.0199608638721,-0.0422648108917,11.369025101,6.24971082912,6.2773579721,0.0,-0.0311193109107,-0.151313111046,2.7386289972,-0.0564563736841,-0.0543677207488,0.0,473.6838187558835,470.9903863154125,472.25408531775724,472.31984332454897
1.0200000000000005,-0.0216514545015,-0.0523000208476,11.5437151868,6.24597034363,6.27567951109,0.0,-0.0249318600964,-0.183651556804,3.0834886431,-0.0779572909626,9.03902300551e-05,0.0,514.400443916705,518.2417959703538,515.2527546181115,513.7281157207509
1.0800000000000005,-0.023005836627,-0.0640380172703,11.7299285027,6.24101546408,6.27573863751,0.0,-0.0202180288558,-0.208057377161,3.12349245937,-0.0939552172106,0.00271814148839,0.0,427.34704664046245,427.57096000310855,427.11605765100984,425.7434394998862
1.1400000000000006,-0.0240787247744,-0.0773384074094,11.9185680655,6.23497758304,6.27581532969,0.0,-0.0155570448853,-0.235823392008,3.16435224882,-0.119339279945,-0.00176975513424,0.0,428.1958401595616,427.81384765517714,428.1145079331176,425.9394816357684
1.2000000000000006,-0.0248342478863,-0.0926796559481,12.1148100654,6.22791906402,6.27544450332,0.0,-0.00960548459885,-0.276363968745,3.37639614415,-0.114449724762,-0.0169132296622,0.0,481.50158598158293,480.35466442662505,479.87844579773406,480.23815794164784
